model_name,link,open_data,finetune,size,time,verilogeval_machine,verilogeval_human,RTLLM_V1_0_Syntax,RTLLM_V1_0_Func,RTLLM_V1_1_Syntax,RTLLM_V1_1_Func,RTLLM_V1_1_Syntax(p@5),RTLLM_V1_1_Func(p@5),RTLLM_V2_Syntax,RTLLM_V2_Func,RTLLM_V2_Syntax(p@5),RTLLM_V2_Func(p@5),VerilogEvalV2,RealBench_Module_Syntax,RealBench_Module_Func,RealBench_System_Syntax,RealBench_System_Func
GPT-3.5,null,NONE,FALSE,null,0,46.7,26.7,63,33,89.7,37.9,,,,,,,,,,,
GPT-4,null,NONE,FALSE,null,0,60,43.5,87,50,100,65.5,,,,,,,,27,9.4,0,0
GPT-4o,null,NONE,FALSE,null,0,,,,,,,,,,,,,,24.5,10.9,31.3,0
GPT-4o-V,null,NONE,FALSE,null,0,,,,,,,,,,,,,,29.3,13.5,38.8,0
StarCoder,https://arxiv.org/abs/2305.06161,NONE,FALSE,15,20230509,46.8,18.1,30,16.7,93.1,27.6,,,,,,,,,,,
VeriGen-Codegen-16B,https://ieeexplore.ieee.org/abstract/document/10137086,Full,TRUE,16,20221213,44,30.3,40,16.7,86.2,24.1,,,,,,,,,,,
VerilogEval-Codegen-16B-verilog-sft,https://ieeexplore.ieee.org/abstract/document/10323812/,NONE,TRUE,16,20230914,46.2,28.8,null,null,null,null,,,,,,,,,,,
VerilogEval-Codegen-16B-multi-sft,https://ieeexplore.ieee.org/abstract/document/10323812/,NONE,TRUE,16,20230914,37.1,17.1,null,null,null,null,,,,,,,,,,,
VerilogEval-Codegen-6B-verilog-sft,https://ieeexplore.ieee.org/abstract/document/10323812/,NONE,TRUE,6,20230914,40,26.6,null,null,null,null,,,,,,,,,,,
VerilogEval-Codegen-6B-multi-sft,https://ieeexplore.ieee.org/abstract/document/10323812/,NONE,TRUE,6,20230914,31.5,14.9,null,null,null,null,,,,,,,,,,,
VerilogEval-Codegen-2B-verilog-sft,https://ieeexplore.ieee.org/abstract/document/10323812/,NONE,TRUE,2,20230914,35.9,23.1,null,null,null,null,,,,,,,,,,,
VerilogEval-Codegen-2B-multi-sft,https://ieeexplore.ieee.org/abstract/document/10323812/,NONE,TRUE,2,20230914,29.2,14.2,null,null,null,null,,,,,,,,,,,
VerilogEval-Codegen-350M-multi-sft,https://ieeexplore.ieee.org/abstract/document/10323812/,NONE,TRUE,0.35,20230914,9.1,4.3,null,null,null,null,,,,,,,,,,,
RTLCoder-Mistral-4bit,https://arxiv.org/abs/2312.08617,Full,TRUE,7,20231213,59.5,33.8,90,33.3,86.2,41.4,,,,,,,,,,,
RTLCoder-DeepSeek-4bit,https://arxiv.org/abs/2312.08617,Full,TRUE,6.7,20231213,56.5,37.5,86.7,26.7,93.1,37.9,,,,,,,,,,,
RTLCoder-Mistral,https://arxiv.org/abs/2312.08617,Full,TRUE,7,20231213,62.5,36.7,90,40,96.6,48.3,,,,,,,,,,,
RTLCoder-DeepSeek,https://arxiv.org/abs/2312.08617,Full,TRUE,6.7,20231213,61.2,41.6,86.7,40,93.1,48.3,,,,,,,,10.9,3.4,0,0
RTLCoder-Mistral-10k,https://arxiv.org/abs/2312.08617,Full,TRUE,7,20231213,56.5,31.7,83.3,36.7,86.2,34.5,,,,,,,,,,,
RTLCoder-DeepSeek-10k,https://arxiv.org/abs/2312.08617,Full,TRUE,6.7,20231213,55.3,36.7,80,30,79.3,37.9,,,,,,,,,,,
RTLCoder-Mistral-Direct,https://arxiv.org/abs/2312.08617,Full,TRUE,7,20231213,58.9,34.4,86.7,33.3,89.7,41.4,,,,,,,,,,,
RTLCoder-DeepSeek-Direct,https://arxiv.org/abs/2312.08617,Full,TRUE,6.7,20231213,59.8,39.1,86.7,36.7,86.2,44.8,,,,,,,,,,,
DataIsAllYouNeed-Llama2-13B-FT,https://arxiv.org/abs/2403.11202,NONE,TRUE,13,20240317,null,null,100,72.4,null,null,,,,,,,,,,,
DataIsAllYouNeed-Llama2-7B-FT,https://arxiv.org/abs/2403.11202,NONE,TRUE,7,20240317,null,null,89.6,51.7,null,null,,,,,,,,,,,
ChipNeMo-7B,https://arxiv.org/abs/2311.00176,NONE,TRUE,7,20231031,28.7,8.3,null,null,null,null,,,,,,,,,,,
ChipNeMo-13B,https://arxiv.org/abs/2311.00176,NONE,TRUE,13,20231031,43.4,22.4,null,null,null,null,,,,,,,,,,,
ChipNeMo-70B,https://arxiv.org/abs/2311.00176,NONE,TRUE,70,20231031,53.8,27.6,null,null,null,null,,,,,,,,,,,
CodeGen-2B fine-grained labels,https://arxiv.org/abs/2404.08029,NONE,TRUE,2,20240411,27,21.1,null,null,null,null,,,,,,,,,,,
CodeGen-6B fine-grained labels,https://arxiv.org/abs/2404.08029,NONE,TRUE,6,20240411,42.6,26.9,null,null,null,null,,,,,,,,,,,
CodeGen-16B fine-grained labels,https://arxiv.org/abs/2404.08029,NONE,TRUE,16,20240411,47.5,32.7,null,null,null,null,,,,,,,,,,,
CodeGen-2B MEV-LLM,https://arxiv.org/abs/2404.08029,NONE,TRUE,2,20240411,44,34.6,null,null,null,null,,,,,,,,,,,
CodeGen-6B MEV-LLM,https://arxiv.org/abs/2404.08029,NONE,TRUE,6,20240411,57.3,42.9,null,null,null,null,,,,,,,,,,,
CodeGen-16B MEV-LLM,https://arxiv.org/abs/2404.08029,NONE,TRUE,16,20240411,60.8,47.4,null,null,null,null,,,,,,,,,,,
GEMMA-2B fine-grained labels,https://arxiv.org/abs/2404.08029,NONE,TRUE,2,20240411,15.3,13.4,null,null,null,null,,,,,,,,,,,
GEMMA-7B fine-grained labels,https://arxiv.org/abs/2404.08029,NONE,TRUE,7,20240411,22.3,19.8,null,null,null,null,,,,,,,,,,,
GEMMA-2B MEV-LLM,https://arxiv.org/abs/2404.08029,NONE,TRUE,2,20240411,31.4,27.5,null,null,null,null,,,,,,,,,,,
GEMMA-7B MEV-LLM,https://arxiv.org/abs/2404.08029,NONE,TRUE,7,20240411,41.9,37.8,null,null,null,null,,,,,,,,,,,
BetterV-CodeLlama,https://arxiv.org/abs/2402.03375,NONE,TRUE,7,20240203,64.2,40.9,null,null,null,null,,,,,,,,,,,
BetterV-DeepSeek,https://arxiv.org/abs/2402.03375,NONE,TRUE,6.7,20240203,67.8,45.9,null,null,null,null,,,,,,,,,,,
BetterV-CodeQwen,https://arxiv.org/abs/2402.03375,NONE,TRUE,7,20240203,68.1,46.1,null,null,null,null,,,,,,,,,,,
BetterV-CodeLlama-base,https://arxiv.org/abs/2402.03375,NONE,TRUE,7,20240203,null,40,null,null,null,null,,,,,,,,,,,
BetterV-CodeLlama-Dis,https://arxiv.org/abs/2402.03375,NONE,TRUE,7,20240203,null,20.3,null,null,null,null,,,,,,,,,,,
ITERTL-DeepSeek-10k,https://arxiv.org/abs/2407.12022,NONE,TRUE,6.7,20240627,62.2,42.9,null,null,null,null,,,,,,,,,,,
FROM_ENGLISH_TO_ASIC-Mistral-7B,https://arxiv.org/abs/2403.07039,NONE,TRUE,7,20240311,40.59,null,null,null,null,null,,,,,,,,,,,
CodeV-CodeLlama,https://arxiv.org/abs/2407.10424,Partial,TRUE,7,20240714,78.1,45.2,null,null,93.1,62.1,,,,,,,,,,,
CodeV-DeepSeek,https://arxiv.org/abs/2407.10424,Partial,TRUE,6.7,20240714,77.9,52.7,null,null,89.7,55.2,,,,,,,,,,,
CodeV-CodeQwen,https://arxiv.org/abs/2407.10424,Partial,TRUE,7,20240714,77.6,53.2,null,null,93.1,55.2,,,,,,,,3.6,0.3,0,0
CodeLlama-7b-Instruct,https://arxiv.org/abs/2308.12950,NONE,FALSE,7,20230825,43.1,18.2,null,null,86.2,31,,,,,,,,,,,
Deepseek-Coder-6.7b-Instruct,https://arxiv.org/abs/2401.14196,NONE,FALSE,6.7,20240125,52.2,30.2,null,null,93.1,44.8,,,,,,,,,,,
CodeQwen1.5-7B-Chat,https://arxiv.org/abs/2309.16609,NONE,FALSE,7,20230928,46.5,22.5,null,null,86.2,41.4,,,,,,,,,,,
Codegen2,https://arxiv.org/abs/2305.02309,NONE,FALSE,16,20230503,5,0.9,46.7,5.77,72.4,6.9,,,,,,,,,,,
Mistral-7B-v0.1,https://arxiv.org/abs/2310.06825,NONE,FALSE,7,20231010,36.9,4.49,76.7,10,72.4,20.7,,,,,,,,,,,
AutoVCoder-Codellama,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,63.7,44.5,null,null,93.1,48.3,,,,,,,,,,,
AutoVCoder-DeepSeek,https://arxiv.org/abs/2407.18333,NONE,TRUE,6.7,20240721,69,46.9,null,null,100,51.7,,,,,,,,,,,
AutoVCoder-CodeQwen,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,68.7,48.5,null,null,100,51.7,,,,,,,,,,,
AutoVCoder-Codellama-1,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,39.2,28.5,null,null,72.4,14,,,,,,,,,,,
AutoVCoder-Codellama-2,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,55.1,39.2,null,null,89.6,37.9,,,,,,,,,,,
AutoVCoder-Codellama-1&2,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,60.1,41.6,null,null,89.6,44.8,,,,,,,,,,,
AutoVCoder-DeepSeek-1,https://arxiv.org/abs/2407.18333,NONE,TRUE,6.7,20240721,57.3,34.8,null,null,93.1,34.5,,,,,,,,,,,
AutoVCoder-DeepSeek-2,https://arxiv.org/abs/2407.18333,NONE,TRUE,6.7,20240721,65.5,45.5,null,null,93.1,44.8,,,,,,,,,,,
AutoVCoder-DeepSeek-1&2,https://arxiv.org/abs/2407.18333,NONE,TRUE,6.7,20240721,67.1,45.1,null,null,100,51.7,,,,,,,,,,,
AutoVCoder-CodeQwen-1,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,58.9,32.7,null,null,82.7,34.5,,,,,,,,,,,
AutoVCoder-CodeQwen-2,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,65.3,45.5,null,null,96.6,44.8,,,,,,,,,,,
AutoVCoder-CodeQwen-1&2,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,66.8,46.2,null,null,100,51.7,,,,,,,,,,,
AutoVCoder-Codellama-ER,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,63.1,44.5,null,null,93.1,48.3,,,,,,,,,,,
AutoVCoder-Codellama-KR,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,60.9,40.5,null,null,89.6,44.8,,,,,,,,,,,
AutoVCoder-DeepSeek-ER,https://arxiv.org/abs/2407.18333,NONE,TRUE,6.7,20240721,68.1,46.6,null,null,100,51.7,,,,,,,,,,,
AutoVCoder-DeepSeek-KR,https://arxiv.org/abs/2407.18333,NONE,TRUE,6.7,20240721,66.9,45.5,null,null,100,51.7,,,,,,,,,,,
AutoVCoder-CodeQwen-ER,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,68.2,48.5,null,null,100,51.7,,,,,,,,,,,
AutoVCoder-CodeQwen-KR,https://arxiv.org/abs/2407.18333,NONE,TRUE,7,20240721,68.5,46.5,null,null,100,51.7,,,,,,,,,,,
o1-preview-2024-09-12,null,NONE,FALSE,null,0,79.27,75,null,null,100,82.76,,,,,,,,28.3,13.3,25,0
VeriAssist-Claude-3,https://arxiv.org/pdf/2406.00115,NONE,FALSE,null,20250315,63.8,41.6,,,,,96.6,65.5,,,,,,,,,
VeriAssist-GPT-3.5,https://arxiv.org/pdf/2406.00115,NONE,FALSE,null,20250315,55.3,34.4,,,,,93.1,48.3,,,,,,,,,
VeriAssist-GPT-4,https://arxiv.org/pdf/2406.00115,NONE,FALSE,null,20250315,67.5,50.5,,,,,100,75.9,,,,,,,,,
ITERTL-DeepSeek-8k,https://arxiv.org/pdf/2407.12022,NONE,TRUE,6.7,20240628,60.8,41.7,,,,,,,,,,,,,,,
